province,municipality,fmr_inventory_count,fmr_completed_count,fmr_ongoing_count,fmr_pipeline_count,fmr_inventory_length_km,fmr_avg_length_km,fmr_influence_area_ha,fmr_farmer_beneficiaries,fmr_latest_year
BATANES,BASCO,13,12,1,0,3.13,0.24,606,1140,2023
BATANES,ITBAYAT,20,15,0,5,269.57,13.48,1537,1770,2024
BATANES,IVANA,4,4,0,0,1.15,0.29,363,340,2020
BATANES,MAHATAO,7,6,1,0,2.44,0.35,462,485,2023
BATANES,SABTANG,5,5,0,0,0.88,0.18,290,425,2020
BATANES,UYUGAN,7,6,1,0,1.44,0.21,526,444,2023
CAGAYAN,ALCALA,4,3,0,1,2.62,0.66,520,456,2024
CAGAYAN,APARRI,7,6,1,0,3.25,0.46,2182,1283,2023
CAGAYAN,BAGGAO,12,10,0,2,6.41,0.53,1858,1609,2024
CAGAYAN,BUGUEY,2,2,0,0,0.72,0.36,460,800,2016
CAGAYAN,CAMALANIUGAN,4,4,0,0,1.94,0.49,1020,457,2020
CAGAYAN,GATTARAN,14,12,0,2,6.4,0.46,2817,2286,2024
CAGAYAN,GONZAGA,6,6,0,0,2.58,0.43,724,830,2021
CAGAYAN,LAL-LO,5,5,0,0,2.07,0.41,1019,921,2019
CAGAYAN,STA. ANA,3,2,1,0,1.31,0.44,211,130,2024
CAGAYAN,STA. TERESITA,2,2,0,0,0.53,0.26,195,105,2018
CAGAYAN,ABULUG,37,36,0,1,35.02,0.95,7320,9337,2024
CAGAYAN,ALLACAPAN,5,4,0,1,3.35,0.67,2045,1049,2024
CAGAYAN,BALLESTEROS,17,14,1,2,15.96,0.94,2684,3186,2024
CAGAYAN,CALAYAN,3,3,0,0,0.41,0.14,135,250,2017
CAGAYAN,CLAVERIA,20,18,2,0,13.67,0.68,2358,2550,2023
CAGAYAN,LASAM,17,16,0,1,15.36,0.9,2942,2577,2024
CAGAYAN,PAMPLONA,9,8,1,0,6.02,0.67,1063,1195,2023
CAGAYAN,PIAT,6,6,0,0,3.48,0.58,685,541,2020
CAGAYAN,RIZAL,2,2,0,0,0.5,0.25,460,750,2017
CAGAYAN,SANCHEZ  MIRA,3,3,0,0,2.09,0.7,312,420,2021
CAGAYAN,STA. PRAXEDES,2,2,0,0,0.6,0.3,190,250,2016
CAGAYAN,AMULUNG,11,9,2,0,13.2,1.2,2897,2765,2023
CAGAYAN,ENRILE,13,8,5,0,508.13,39.09,3511,3268,2024
CAGAYAN,IGUIG,6,6,0,0,3.37,0.56,570,791,2020
CAGAYAN,PEÑABLANCA,7,7,0,0,2.59,0.37,625,1953,2019
CAGAYAN,SOLANA,16,15,0,1,10.23,0.64,4449,4763,2024
CAGAYAN,TUAO,4,3,0,1,3.79,0.95,1344,1225,2019
CAGAYAN,TUGUEGARAO CITY,3,3,0,0,1.26,0.42,376,438,2019
ISABELA,CABAGAN,16,13,0,3,315.39,19.71,2681,2529,2024
ISABELA,SAN PABLO,8,3,4,1,10.62,1.33,2234,1825,2024
ISABELA,STA. MARIA,8,5,3,0,9.98,1.25,875,535,2023
ISABELA,TUMAUINI,24,23,1,0,27.06,1.13,4883,5545,2024
ISABELA,BENITO SOLIVEN,10,9,0,1,7.71,0.77,2374,1690,2024
ISABELA,BURGOS,3,3,0,0,1.74,0.58,575,229,2018
ISABELA,GAMU,6,6,0,0,3.69,0.61,690,375,2019
ISABELA,QUEZON,9,8,0,1,7.04,0.78,1395,1210,2024
ISABELA,ROXAS,9,9,0,0,6.01,0.67,1264,854,2020
ISABELA,ANGADANAN,16,16,0,0,26.34,1.65,4030,2474,2021
ISABELA,SAN GUILLERMO,8,6,0,2,7.27,0.91,2823,1265,2024
ISABELA,JONES,12,9,0,3,11.94,0.99,2082,1301,2024
ISABELA,RAMON,6,5,1,0,4.51,0.75,977,855,2023
ISABELA,SANTIAGO CITY,6,5,0,1,6.16,1.03,906,530,2024
NUEVA VIZCAYA,BAGABAG,10,10,0,0,6.16,0.62,1626,1850,2020
NUEVA VIZCAYA,BAMBANG,21,17,0,4,13.95,0.66,3180,3415,2024
NUEVA VIZCAYA,BAYOMBONG,9,9,0,0,4.78,0.53,1240,1362,2022
NUEVA VIZCAYA,KASIBU,17,16,0,1,8.36,0.49,2232,3356,2024
NUEVA VIZCAYA,KAYAPA,14,11,0,3,9.2,0.66,2077,3465,2024
NUEVA VIZCAYA,SOLANO,8,8,0,0,3.26,0.41,1195,1780,2022
QUIRINO,AGLIPAY,14,14,0,0,11.36,0.81,2715,2194,2023
QUIRINO,CABARROGUIS,17,16,0,1,12.12,0.71,2884,2103,2024
QUIRINO,DIFFUN,21,17,0,4,12.49,0.59,4290,3446,2024
QUIRINO,MADDELA,23,21,0,2,14.88,0.65,4687,3410,2024
QUIRINO,NAGTIPUNAN,6,6,0,0,2.84,0.47,1068,819,2018
QUIRINO,SAGUDAY,8,7,0,1,2.56,0.32,2140,1605,2024
ISABELA,ILAGAN CITY,11,10,0,1,14.12,1.28,2488,2405,2024
ISABELA,NAGUILIAN,12,10,0,2,9.83,0.82,2558,2694,2024
ISABELA,QUIRINO,4,4,0,0,2.73,0.68,614,364,2023
ISABELA,SAN MANUEL,5,5,0,0,2.42,0.48,1100,710,2021
ISABELA,SAN MARIANO,17,14,0,3,18.36,1.08,3749,3215,2024
ISABELA,ALICIA,13,10,0,3,13.43,1.03,2746,2105,2024
ISABELA,CABATUAN,5,5,0,0,3.75,0.75,1047,632,2023
ISABELA,SAN MATEO,5,5,0,0,2.54,0.51,1340,700,2020
ISABELA,CORDON,9,7,0,2,9.03,1,1679,1395,2024
ISABELA,ECHAGUE,11,9,0,2,9.28,0.84,2019,1835,2024
ISABELA,SAN AGUSTIN,6,5,0,1,2.54,0.42,847,570,2024
ISABELA,SAN ISIDRO,6,6,0,0,4.45,0.74,1133,925,2021
NUEVA VIZCAYA,ALFONSO CASTAÑEDA,1,1,0,0,0.42,0.42,163,100,2017
NUEVA VIZCAYA,AMBAGUIO,4,4,0,0,1,0.25,723,1800,2017
NUEVA VIZCAYA,ARITAO,5,5,0,0,3.17,0.63,942,837,2023
NUEVA VIZCAYA,DIADI,6,5,0,1,3.17,0.53,836,1420,2024
NUEVA VIZCAYA,DUPAX DEL NORTE,11,11,0,0,7.08,0.64,1336,2895,2021
NUEVA VIZCAYA,QUEZON,3,3,0,0,1.8,0.6,430,786,2020
NUEVA VIZCAYA,STA. FE,1,1,0,0,0.41,0.41,81,100,2017
ISABELA,DELFIN ALBANO,7,3,4,0,7.15,1.02,2008,900,2024
ISABELA,STO. TOMAS,4,3,1,0,129.03,32.26,530,416,2024
ISABELA,MALLIG,6,5,0,1,5.94,0.99,1956,2191,2024
NUEVA VIZCAYA,DUPAX DEL SUR,5,5,0,0,3.25,0.65,1161,1248,2021
ISABELA,MACONACON,1,1,0,0,0.43,0.43,50,40,2019
ISABELA,PALANAN,1,1,0,0,0.54,0.54,85,40,2019
ISABELA,AURORA,1,1,0,0,1.34,1.34,700,700,2020
NUEVA VIZCAYA,VILLAVERDE,1,1,0,0,0.83,0.83,100,55,2020
ISABELA,REINA MERCEDES,2,2,0,0,2.51,1.26,662,1000,2021
ISABELA,LUNA,1,1,0,0,1.31,1.31,459,500,2021
ISABELA,CAUAYAN CITY,23,10,0,13,20.07,0.87,6669,7658,2024
QUIRINO,CABARROGUIS- DIFFUN,1,1,0,0,0.49,0.49,160,198,2023
CAGAYAN,SANTA TERESITA,1,0,0,1,0.95,0.95,70,85,2024
CAGAYAN,ENRILE- SOLANA,1,0,1,0,653,653,600,450,2024
ISABELA,SANTA MARIA,3,0,3,0,183.6,61.2,519,1500,2024
ISABELA,SANTO TOMAS,1,0,1,0,1.02,1.02,172,150,2024
